Einzelwerte / Material,,,,,,,
,,,,,,,Benutzer: Petka Jan
Auswahl: CAS,,,,,,,Datum: 27.01.2026 13:22:00
,,,,,,,
"Bearbeitungsstatus: Freigabe zur Entwicklung/Bemusterung, Produktion/freigegeben",,,,,,,
"Lenkungsstatus: , freigegeben",,,,,,,
Abteilung/Sortiment: Abteilung,,,,,,,
Art/Gebiet/Bereich: Rohwaren,,,,,,,
"Werke:RohwarenAustria Juice Bingen, Austria Juice Krdf.",,,,,,,
,,,,,,,
Alle Regeln treffen zu:,,,,,,,
Attribute - Bezeichnung gleich CAS-Nr.:; Hinweis 1 nicht wie ,,,,,,,
,,,,,,,
Stamm-Nr.,Stammbezeichnung,Ident.,Vers.,Int. Id.,Partner,CAS-Nr.: - Hinweis 1,
60040002_+ÖK+,Kaffee-Absolue,R00017,007,R00017,Austria Juice,8001-67-0,
60040003_+ÖK+,Jasmin-Absolue (blumig) Halal,R00018,011,R00018,Austria Juice,8022-96-6,
60040005_+ÖK+,Osmanthus-Absolue,R00020,007,R00020,Austria Juice,68917-05-5,
61070006,L-Tyrosin,R00026,004,R00026,Austria Juice,60-18-4,
60000077,Apfel-Aroma FTNF,R00106,008, AC-97201 ,Austria Juice,85251-63-4,
60050002,Berg-Ahorn-Extrakt,R00600,002,AJ621080,Austria Juice,91770-23-9,
60050003_+EK+,Bockshornkleesamen-Extrakt in PG Halal,R00601,008,R00601,Austria Juice,84625-40-1,
60050012_+EK+,Kakao-Extrakt in PG,R00610,005,R00610,Austria Juice,8002-31-1,
60050020_+ÖK+,Neroli-Absolue WONF,R00618,005,R00618,Austria Juice,72968-50-4,
60050021_+ÖK+,"Iris-Concrete, 8% Iron Halal Kosher",R00619,012,R00619,Austria Juice,90045-90-2,
60050023_+EK+,"Passionsblumen-Extrakt, flüssig",R00621,002,Ref.: AJ611050,Austria Juice,8057-62-3,
61000002,Betacarotene 10% EM Red,R00642,001,8200000,Austria Juice,7235-40-7,
61000006,Caramel Zuckerkulör E 150 a Halal,R00643,009,R00643,Austria Juice,8028-89-5,
61000009,"Carminsäure 3,5% (E 120)",R00646,004,8403608,Austria Juice,1260-17-9,
61000028,ColorFruit Yellow 310 WSS (Carotine (oder E 160a ii)) Halal,R00647,008,704076,Austria Juice,7235-40-7,
61000013,Cochenillerot A (oder E124),R00649,001,8403500,Austria Juice,2611-82-7,
61000019,Gelborange S (Sunset Yellow) E 110,R00651,005,07600032,Austria Juice,2783-94-0,
61000020,Indigotin E132,R00652,003,07600033,Austria Juice,860-22-0,
61000022,Patentblau E131 ,R00653,005,07600399,Austria Juice,20262-76-4,
61000025,Tartrazin E102,R00654,005,8403602,Austria Juice,1934-21-0,
61070003,Kaliumsorbat (E 202) Halal,R00798,017,8400601,Austria Juice,24634-61-5,
61070008,Natriumbenzoat (E 211) Halal,R00799,011,8400901,Austria Juice,532-32-1,
61060001,Calciumlactat-Pentahydrat (oder E 327),R00801,005,8402800,Austria Juice,28305-25-1,
61060002,Kaliumdisulfit,R00802,003,8401001,Austria Juice,16731-55-8,
60020000_+ÖK+,Asant-Öl,R01296,005,R01296,Austria Juice,72869-70-6,
60020001_+ÖK+,Buchu-Öl Betulina Kosher Halal,R01297,012,R01297,Austria Juice,68650-46-4,
60020002_+ÖK+,Kardamom-Kern-Öl,R01298,009,R01298,Austria Juice,8000-66-6,
60020005_+ÖK+,Sellerie-Samen-Öl Typ erdig,R01301,003,R01301,Austria Juice,8015-90-5,
60020007_+ÖK+,Schnittlauch-Öl,R01303,002,R01303,Austria Juice,"89997-59-1	",
60020008_+G+,"Zimtrinden-Öl, Typ Holzig Halal",R01304,007,R01304,Austria Juice,8015-91-6,
60030000_+ÖK+,Kamillenblüten-Öl Römisch,R01305,007,R01305,Austria Juice,8015-92-7,
60020009_+ÖK+,Estragon-Öl Halal V,R01306,009,R01306,Austria Juice,8016-88-4,
60020010_+ÖK+,Ingwer-Öl Chinesisch,R01307,008,R01307,Austria Juice,8007-08-7,
60020011_+ÖK+,Wacholderbeeren-Öl Halal Kosher,R01309,010,R01309,Austria Juice,8002-68-4,
60050038_+ÖK+,Muskatnuss-Öl,R01310,011,R01310,Austria Juice,8008-45-5,
60020012_+ÖK+,Petersilien-Öl,R01312,007,R01312,Austria Juice,8000-68-8,
60050039_+ÖK+,"Petersiliensamen-Öl, Typ fruchtig",R01313,003,R01313,Austria Juice,8000-68-8,
60020013_+ÖK+,Sandelholz-Öl,R01315,004,R01315,Austria Juice,91845-48-6,
60020014_+ÖK+,Wermutkraut-Öl Halal,R01316,009,R01316,Austria Juice,8008-93-3,
61010000,D/L Äpfelsäure (oder E 296) BG Halal,R01352,011,8400010,Austria Juice,617-48-1,
61010001,L-Äpfelsäure,R01353,005,R01353,Austria Juice,97-67-6,
61010004_AS,Milchsäure 80%ig (als Aromastoff) Halal Kosher,R01356,013,R01356,Austria Juice,79-33-4,
61010008,Weinsäure (E 334),R01358,003,R01358,Austria Juice,87-69-4,
61010010,"Zitronensäure Monohydrat (Grundstoff-Komponente) Kosher Halal, BG",R01359,017,R01359,Austria Juice,5949-29-1,
61010005,Tri-Calcium-Citrat (E 333),R01361,002,8402610,Austria Juice,813-94-5,
61010006,Trikaliumcitrat Monohydrat Fein E 332,R01362,006,8404200,Austria Juice,6100-05-6,
61010007,"Trinatriumcitrat-Dihydrat (E 331), BG Halal",R01363,016,8402600,Austria Juice,6132-04-3,
61070001,Coffein wasserfrei,R01386,009,R01386,Austria Juice,58-08-2,
61070011,Taurin,R01387,004,R01387,Austria Juice,107-35-7,
61050007,Dextrose-Monohydrat,R01392,007,R01392,Austria Juice,5996-10-1,
61050010,Fructose kristallin FG,R01396,008,R01396,Austria Juice,57-48-7,
61050000,Acesulfam-K (oder E950),R01411,005,441627,Austria Juice,55589-62-3,
61050002,Aspartam (E951),R01413,006,447127,Austria Juice,22839-47-0,
61050011,Natriumcyclamat (oder E 952),R01415,006,440942,Austria Juice,139-05-9,
61050012,Natriumsaccharin E954,R01416,006,441322,Austria Juice,6155-57-3,
61020001,MCT Öl  palmölbasiert,R01420,003,8400009,Austria Juice,73398-61-5,
61000003,Beta-Carotin 10% Emulsion yellow,R01432,011,498602,Austria Juice,7235-40-7 (nur beta-carotin),
61070082,Coenzym Q10 (40%),R01435,002,R01435,Austria Juice,303-98-0,
61000023,Riboflavin E101i/Lactoflavin,R01437,003,07600154,Austria Juice,83-88-5,
