Rez.-Nr.,Ident,ERP-Nr.,Name,Totalmenge,Richtdosierung in g/l,CAS-Nr.,Odour-Type 1,Odour-Type 2,Odour-Type 3,Threshold
188.977,R02369,60030735,"2,3,5-Trimethylpyrazin, natürlich Halal",0.0003,0.6,14667-55-1,warm,nutty,,
187.004P,R02399,60030824_+G+,"2-Acetylfuran, natürlich","0,000248","0,200",1192-62-7,warm,balsamic,,
186.293P,R04571,60030747,"2-Ethyl-4-methylthiazol, natürlich","7,5E-7","1,100",15679-12-6,warm,nutty,green,
185.046,R01469,60030015_+K+,2-Heptanon Halal,"0,0005","0,600",110-43-0,floral,fruity,warm,"0,05"
187.015P,R01469,60030015_+K+,2-Heptanon Halal Kosher,"0,00019","0,350",110-43-0,floral,fruity,warm,"0,05"
185.028,R01976,60030429_+K+,"2-Heptanon, natürlich Halal","9,21375E-6","0,400",110-43-0,floral,fruity,warm,"0,05"
185.043P,R01976,60030429_+K+,"2-Heptanon, natürlich Halal",3E-6,"0,800",110-43-0,floral,fruity,warm,"0,05"
185.314,R01976,60030429_+K+,"2-Heptanon, natürlich Halal","4,5E-5","0,600",110-43-0,floral,fruity,warm,"0,05"
185.507P,R01976,60030429_+K+,"2-Heptanon, natürlich Halal","1,7E-5","0,300",110-43-0,floral,fruity,warm,"0,05"
185.796P,R01976,60030429_+K+,"2-Heptanon, natürlich Halal",8E-6,"0,860",110-43-0,floral,fruity,warm,"0,05"
186.179P,R01976,60030429_+K+,"2-Heptanon, natürlich Halal","1,7E-5","0,400",110-43-0,floral,fruity,warm,"0,05"
187.746P,R01976,60030429_+K+,"2-Heptanon, natürlich Halal","5,4E-5","1,000",110-43-0,floral,fruity,warm,"0,05"
188.819,R01976,60030429_+K+,"2-Heptanon, natürlich Halal",0.000003,"0,3",110-43-0,floral,fruity,warm,"0,05"
185.044,R01976,60030429_+K+,"2-Heptanon, natürlich Halal",0.000003,0.3,110-43-0,floral,fruity,warm,"0,05"
185.339P,R01474,60030019,"2-Methyl-1-butanol, natürlich Kosher Halal","0,000314","1,000",137-32-6,unpleasant,fresh,,
186.490P,R02178,60030571,2-Methyl-2-pentensäure,"0,000651","0,500",3142-72-1,unpleasant,warm,fruity,"0,5"
187.694P,R02178,60030571,2-Methyl-2-pentensäure,"0,000172","0,400",3142-72-1,unpleasant,warm,fruity,"0,5"
187.695P,R02178,60030571,2-Methyl-2-pentensäure,"9,9E-5","0,750",3142-72-1,unpleasant,warm,fruity,"0,5"
187.885P,R02178,60030571,2-Methyl-2-pentensäure,"0,001333","0,900",3142-72-1,unpleasant,warm,fruity,"0,5"
186.950P,R02178,60030571,2-Methyl-2-pentensäure Halal Kosher,"0,000275","1,000",3142-72-1,unpleasant,warm,fruity,"0,5"
188.481KHP,R02178,60030571,2-Methyl-2-pentensäure Halal Kosher,"0,0016","1,000",3142-72-1,unpleasant,warm,fruity,"0,5"
189.014,R02178,60030571,2-Methyl-2-pentensäure Halal Kosher,0.0004,1,3142-72-1,unpleasant,warm,fruity,"0,5"
188.977,R04650,60030776,"2-Methyl-2-pentensäure, natürlich",0.0004,0.6,3142-72-1,unpleasant,warm,fruity,"0,5"
185.046,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,0022","0,600",116-53-0,fruity,unpleasant,dairy,6.666666667
185.090P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,000855","0,900",116-53-0,fruity,unpleasant,dairy,6.666666667
185.237H,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,013892","0,500",116-53-0,fruity,unpleasant,dairy,6.666666667
185.309P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,001587","0,500",116-53-0,fruity,unpleasant,dairy,6.666666667
185.321,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,005415","0,300",116-53-0,fruity,unpleasant,dairy,6.666666667
185.513P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,000735","0,800",116-53-0,fruity,unpleasant,dairy,6.666666667
185.615,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,006481","0,150",116-53-0,fruity,unpleasant,dairy,6.666666667
185.621P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,009117","0,200",116-53-0,fruity,unpleasant,dairy,6.666666667
185.644P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,00857","0,180",116-53-0,fruity,unpleasant,dairy,6.666666667
185.741P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,001856","1,000",116-53-0,fruity,unpleasant,dairy,6.666666667
185.748P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,066421","0,100",116-53-0,fruity,unpleasant,dairy,6.666666667
186.190P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,0095","0,300",116-53-0,fruity,unpleasant,dairy,6.666666667
186.277P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,0139","0,500",116-53-0,fruity,unpleasant,dairy,6.666666667
186.490P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,006233","0,500",116-53-0,fruity,unpleasant,dairy,6.666666667
186.950P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,00187","1,000",116-53-0,fruity,unpleasant,dairy,6.666666667
187.015P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,001","0,350",116-53-0,fruity,unpleasant,dairy,6.666666667
187.167P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,158","0,050",116-53-0,fruity,unpleasant,dairy,6.666666667
187.519P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,005447","0,400",116-53-0,fruity,unpleasant,dairy,6.666666667
187.567P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,003416","0,200",116-53-0,fruity,unpleasant,dairy,6.666666667
187.571P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,048525","0,100",116-53-0,fruity,unpleasant,dairy,6.666666667
187.608P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,011214","0,200",116-53-0,fruity,unpleasant,dairy,6.666666667
187.662P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,007489","0,500",116-53-0,fruity,unpleasant,dairy,6.666666667
187.694P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,006776","0,400",116-53-0,fruity,unpleasant,dairy,6.666666667
187.695P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,004673","0,750",116-53-0,fruity,unpleasant,dairy,6.666666667
