Stamm-Nr.,Rez.-Nr.,Rezepturbezeichnung,ERP-Nr.,Name,Totalmenge,CAS-Nr.: - Hinweis 1,Sensorik_1,Sensorik_2,Sensorik_3,Sensorik_4,Odour Type 1 FlavourWheel,Odour Type 2 Flavour Wheel,Odour Type 3 Flavour Wheel,Threshold ppm (Datenbank),,,
29201964,187.893P,Erdbeer-Aroma,60030302,Phenethylalkohol Halal Kosher,0.0000450000,60-12-8,floral,rose,dried rose,,floral,,,5,,,
RE00956_A01,185.615,Erdbeer-Aroma,60030309,Propionsäure Kosher Halal,0.0096020000,79-09-4,pungent,acidic,cheesy,vinegar,unpleasent,dairy,fruity,6.666666667,,,
29200974,187.061P,Erdbeer-Aroma,60030309,Propionsäure Kosher Halal,0.0002000000,79-09-4,pungent,acidic,cheesy,vinegar,unpleasent,dairy,fruity,6.666666667,,,
29201878,187.783P,Erdbeer-Aroma,60030553,"Propionsäure, natürlich Halal",0.0003300000,79-09-4,pungent,acidic,cheesy,vinegar,unpleasent,dairy,fruity,6.666666667,,,
29201971,187.892P,Erdbeer-Aroma,60030309,Propionsäure Kosher Halal,0.0057860000,79-09-4,pungent,acidic,cheesy,vinegar,unpleasent,dairy,fruity,6.666666667,,,
29201964,187.893P,Erdbeer-Aroma,60030309,Propionsäure Kosher Halal,0.0025800000,79-09-4,pungent,acidic,cheesy,vinegar,unpleasent,dairy,fruity,6.666666667,,,
29201969,187.894P,Erdbeer-Aroma,60030553,"Propionsäure, natürlich Halal",0.0011270000,79-09-4,pungent,acidic,cheesy,vinegar,unpleasent,dairy,fruity,6.666666667,,,
29202470,188.375P,Erdbeer-Aroma,60030553,"Propionsäure, natürlich Halal",0.0003920000,79-09-4,pungent,acidic,cheesy,vinegar,unpleasent,dairy,fruity,6.666666667,,,
RE01628_A01,185.902P,Erdbeer-Aroma,60030449_+TK+G+,"Furfural, natürlich Kosher Halal",0.0000160000,98-01-1,woody,almond,bread,baked,woody,warm,,0.5,,,
29200823,186.950P,Erdbeer-Aroma,60030181_+TK+G+,Furfural Halal,0.0004450000,98-01-1,woody,almond,bread,baked,woody,warm,,0.5,,,
29200817,185.796P,Erdbeer-Aroma,60030396,"gamma-Dodecalacton, natürlich Halal",0.0000010000,2305-05-7,Fatty,peach,metallic,fruity,dairy,fruity,,0.666666667,,,
29201955,187.885P,Erdbeer-Aroma,60030184,gamma-Dodecalacton Halal Kosher,0.0019110000,2305-05-7,Fatty,peach,metallic,fruity,dairy,fruity,,0.666666667,,,
29201969,187.894P,Erdbeer-Aroma,60030396,"gamma-Dodecalacton, natürlich Halal",0.0002300000,2305-05-7,Fatty,peach,metallic,fruity,dairy,fruity,,0.666666667,,,
29202914,188.796P,Erdbeer-Aroma,60030396,"gamma-Dodecalacton, natürlich Halal",0.0000030000,2305-05-7,Fatty,peach,metallic,fruity,dairy,fruity,,0.666666667,,,
29201947,187.871P,Erdbeer-Aroma,60030693,Acetyl N-methylanthranilat,0.0002190000,2719-08-6,fruity,powdery,strawberry,,fruity,,,1,,,
RE00956_A01,185.615,Erdbeer-Aroma,60030474,Ethylmaltol Kosher Halal,0.0028810000,4940-11-8,caramellic,jam,strawberry,cotton candy,warm,fruity,,0.25,,,
29200047,185.267,Erdbeer-Aroma,60030555_+ÖK+,Davana-Öl,0.0003000000,8016-03-3,fruity,berry,woody,animal,fruity,woody,,"0,2",,,
RE00734_A01,185.471,Erdbeer-Aroma,60030555_+ÖK+,Davana-Öl,0.0012650000,8016-03-3,fruity,berry,woody,animal,fruity,woody,,"0,2",,,
29200817,185.796P,Erdbeer-Aroma,60040011_+ÖK+,Mimosa-Absolue,0.0003882700,8031-03-6,floral,green,waxy,woody,floral,green,,"0,7",,,
29201025,187.119P,Erdbeer-Aroma,60040011_+ÖK+,Mimosa-Absolue,0.0000090000,8031-03-6,floral,green,waxy,woody,floral,green,,"0,7",,,
29201172,185.741P,Erdbeer-Aroma,60030067_+K+,Benzaldehyd Kosher Halal,0.0002280000,100-52-6,fruity,bitter almond,cherry,,fruity,,,0.5,,,
RE02701_A01,186.395P,Erdbeer-Aroma,60030391_+K+,"Benzaldehyd, natürlich Kosher Halal, BG",0.0001320000,100-52-7,fruity,bitter almond,cherry,,fruity,,,0.5,,,
29200308,186.396P,Erdbeer-Aroma,60030391_+K+,"Benzaldehyd, natürlich Kosher Halal, BG",0.0001100000,100-52-7,fruity,bitter almond,cherry,,fruity,,,0.5,,,
29200974,187.061P,Erdbeer-Aroma,60030067_+K+,Benzaldehyd Kosher Halal,0.0000120000,100-52-7,fruity,bitter almond,cherry,,fruity,,,0.5,,,
29201025,187.119P,Erdbeer-Aroma,60030391_+K+,"Benzaldehyd, natürlich Kosher Halal, BG",0.0000050000,100-52-7,fruity,bitter almond,cherry,,fruity,,,0.5,,,
