Stamm-Nr.,Rez.-Nr.,R-Nummer,ERP-Nr.,Name,Totalmenge,CAS-Nr.: - Hinweis 1,Sensorik_1,Sensorik_2,Sensorik_3,Sensorik_4,Odour Type 1 FlavourWheel,Odour Type 2 Flavour Wheel,Odour Type 3 Flavour Wheel,Threshold ppm (Datenbank),Threshold 2 ppm (Datenbank),Treshold 3 ppm (Datenbank),,
29201891,187.796P,R01643,60030184,gamma-Dodecalacton Halal Kosher,0.0145960000,2305-05-7,Fatty,peach,metallic,fruity,warm,balsamic,fruity,"0,666666667",,,,
RE00429_A02,185.028,R01937,60030396,"gamma-Dodecalacton, natürlich Halal",0.0000117163,2305-05-7,Fatty,peach,metallic,fruity,warm,balsamic,fruity,"0,666666667",,,,Fehlt:
29201231,185.507P,R01937,60030396,"gamma-Dodecalacton, natürlich Halal",0.0000010000,2305-05-7,Fatty,peach,metallic,fruity,warm,balsamic,fruity,"0,666666667",,,,185.569
29201969,187.894P,R01937,60030396,"gamma-Dodecalacton, natürlich Halal",0.0002300000,2305-05-7,Fatty,peach,metallic,fruity,warm,balsamic,fruity,"0,666666667",,,,
29200047,185.267,R02157,60030555_+ÖK+,Davana-Öl,0.0003000000,8016-03-3,fruity,berry,woody,animal,fruity,balsamic,,"0,2",,,,
RE00734_A01,185.471,R02157,60030555_+ÖK+,Davana-Öl,0.0012650000,8016-03-3,fruity,berry,woody,animal,fruity,balsamic,,"0,2",,,,
29201953,187.886P,R02157,60030555_+ÖK+,Davana-Öl,0.0004010000,8016-03-3,fruity,berry,woody,animal,fruity,balsamic,,"0,2",,,,
RE00429_A02,185.028,R01980,60030433,"Hexyl-2-methylbutyrat, natürlich Halal",0.0000175000,10032-15-2,green,waxy,fruity,apple,green,warm,,"0,5",,,,
RE00171_A01,185.091,R01980,60030433,"Hexyl-2-methylbutyrat, natürlich Halal",0.0000400000,10032-15-2,green,waxy,fruity,apple,green,warm,,"0,5",,,,
29200048,185.309P,R01527,60030070,Benzylalkohol Halal Kosher,0.0009000000,100-51-6,floral,rose,phenolic,balsamic,floral,warm,,10,,,,
29201953,187.886P,R02359,60030646,"Benzylalkohol, natürlich Kosher Halal",0.0001440000,100-51-6,floral,rose,phenolic,balsamic,floral,warm,,10,,,,
29200533,186.190P,R01524,60030067_+K+,Benzaldehyd Kosher Halal,0.0002700000,100-52-7,fruity,bitter almond,cherry,,floral,warm,,"0,5",,,,
29201573,187.507P,R01919,60030391_+K+,"Benzaldehyd, natürlich Kosher Halal, BG",0.0001830000,100-52-7,fruity,bitter almond,cherry,,floral,warm,,"0,5",,,,
29201953,187.886P,R01919,60030391_+K+,"Benzaldehyd, natürlich Kosher Halal, BG",0.0000260000,100-52-7,fruity,bitter almond,cherry,,floral,warm,,"0,5",,,,
29202513,188.412P,R01919,60030391_+K+,"Benzaldehyd, natürlich Kosher Halal, BG",0.0000440000,100-52-7,fruity,bitter almond,cherry,,floral,warm,,"0,5",,,,
RE00429_A02,185.028,R01935,60030057,Triacetin Kosher Halal,0.0000046638,102-76-1,weak,ethereal,fruity,,odorless,,,n.v.,,,,
29200533,186.190P,R01935,60030057,Triacetin Kosher Halal,0.1000000000,102-76-1,weak,ethereal,fruity,,odorless,,,n.v.,,,,
29200821,186.277P,R01935,60030057,Triacetin Kosher Halal,0.5429900000,102-76-1,weak,ethereal,fruity,,odorless,,,n.v.,,,,
