Rez.-Nr.,Dom_OT,PC1_score,PC1_top1_cas,PC1_top1_name,PC1_top1_contrib,PC1_top2_cas,PC1_top2_name,PC1_top2_contrib,PC1_top3_cas,PC1_top3_name,PC1_top3_contrib,PC1_top4_cas,PC1_top4_name,PC1_top4_contrib,PC1_top5_cas,PC1_top5_name,PC1_top5_contrib,PC2_score,PC2_top1_cas,PC2_top1_name,PC2_top1_contrib,PC2_top2_cas,PC2_top2_name,PC2_top2_contrib,PC2_top3_cas,PC2_top3_name,PC2_top3_contrib,PC2_top4_cas,PC2_top4_name,PC2_top4_contrib,PC2_top5_cas,PC2_top5_name,PC2_top5_contrib,PC3_score,PC3_top1_cas,PC3_top1_name,PC3_top1_contrib,PC3_top2_cas,PC3_top2_name,PC3_top2_contrib,PC3_top3_cas,PC3_top3_name,PC3_top3_contrib,PC3_top4_cas,PC3_top4_name,PC3_top4_contrib,PC3_top5_cas,PC3_top5_name,PC3_top5_contrib,PC4_score,PC4_top1_cas,PC4_top1_name,PC4_top1_contrib,PC4_top2_cas,PC4_top2_name,PC4_top2_contrib,PC4_top3_cas,PC4_top3_name,PC4_top3_contrib,PC4_top4_cas,PC4_top4_name,PC4_top4_contrib,PC4_top5_cas,PC4_top5_name,PC4_top5_contrib
185.028,fresh,-2.289,23696-85-7,beta-Damascenon,-0.24665,3025-30-7,Ethyl-trans,-0.20014,105-54-4,Ethylbutyrat Kosher Halal,-0.19888,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.18766,706-14-9,gamma-Decalacton Kosher Halal,-0.18125,-0.7996,6728-26-3,trans-2-Hexenal Kosher Halal,0.1439,75-07-0,Acetaldehyd Halal Kosher,-0.12401,23696-85-7,beta-Damascenon,-0.11522,513-86-0,Acetoin 50% in PG Kosher Halal,-0.08667,3025-30-7,Ethyl-trans,-0.0841,-0.5014,617-35-6,Ethylpyruvat,0.10046,659-70-1,Isoamylisovalerat Kosher Halal,-0.09099,23696-85-7,beta-Damascenon,-0.08295,142-92-7,Hexylacetat Kosher Halal,-0.07441,6728-26-3,trans-2-Hexenal Kosher Halal,-0.06043,0.5875,61931-81-5 ,cis-3-Hexenyllactat,0.12628,23696-85-7,beta-Damascenon,0.11361,3025-30-7,Ethyl-trans,0.11168,3658-77-3,Furaneol Halal,0.0822,75-07-0,Acetaldehyd Halal Kosher,-0.06909
185.043P,fresh,-2.3541,3025-30-7,Ethyl-trans,-0.26548,79-31-2,Isobuttersäure,-0.26356,105-54-4,Ethylbutyrat Kosher Halal,-0.189,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.18552,706-14-9,gamma-Decalacton Kosher Halal,-0.16964,-0.7218,3025-30-7,Ethyl-trans,-0.11156,79-31-2,Isobuttersäure,-0.10661,513-86-0,Acetoin 50% in PG Kosher Halal,-0.08592,78-70-6,Linalool ex HO,0.06692,14901-07-6,beta-Ionon Halal Kosher,-0.06469,0.3438,105-57-7,Acetal Halal,0.49629,659-70-1,Isoamylisovalerat Kosher Halal,-0.08291,142-92-7,Hexylacetat Kosher Halal,-0.0603,78-70-6,Linalool ex HO,0.05428,79-31-2,Isobuttersäure,0.04964,0.7637,79-31-2,Isobuttersäure,0.1787,3025-30-7,Ethyl-trans,0.14814,105-57-7,Acetal Halal,0.12862,118-71-8,Maltol Kosher Halal,0.06181,3658-77-3,Furaneol Halal,0.06102
185.044,fresh,-2.3543,3025-30-7,Ethyl-trans,-0.26548,79-31-2,Isobuttersäure,-0.26356,105-54-4,Ethylbutyrat Kosher Halal,-0.189,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.18552,706-14-9,gamma-Decalacton Kosher Halal,-0.16964,-0.7182,3025-30-7,Ethyl-trans,-0.11156,79-31-2,Isobuttersäure,-0.10661,513-86-0,Acetoin 50% in PG Kosher Halal,-0.08235,78-70-6,Linalool ex HO,0.06692,14901-07-6,beta-Ionon Halal Kosher,-0.06469,0.3423,105-57-7,Acetal Halal,0.49629,659-70-1,Isoamylisovalerat Kosher Halal,-0.08291,142-92-7,Hexylacetat Kosher Halal,-0.0603,78-70-6,Linalool ex HO,0.05428,79-31-2,Isobuttersäure,0.04964,0.7635,79-31-2,Isobuttersäure,0.1787,3025-30-7,Ethyl-trans,0.14814,105-57-7,Acetal Halal,0.12862,118-71-8,Maltol Kosher Halal,0.06181,3658-77-3,Furaneol Halal,0.06102
185.046,fresh,-2.0045,110-43-0,2-Heptanon Halal,-0.21228,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.19492,105-54-4,Ethylbutyrat Kosher Halal,-0.18795,706-14-9,gamma-Decalacton Kosher Halal,-0.15201,142-62-1,Hexansäure kräftig,-0.15062,-0.5796,110-43-0,2-Heptanon Halal,0.18973,103-26-4,Methyl-trans-cinnamat,-0.09009,513-86-0,Acetoin 50% in PG Kosher Halal,-0.0895,78-70-6,Linalool ex HO,-0.07571,14901-07-6,beta-Ionon Halal Kosher,-0.06469,0.0917,110-43-0,2-Heptanon Halal,0.50173,142-92-7,Hexylacetat Kosher Halal,-0.09334,659-70-1,Isoamylisovalerat Kosher Halal,-0.09099,111-27-3,Hexanol Kosher Halal,-0.06918,3681-71-8,cis-3-Hexenylacetat Halal Kosher,-0.06629,0.9171,110-43-0,2-Heptanon Halal,0.70927,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.05959,64-19-7,Essigsäure Halal Kosher,0.05695,118-71-8,Maltol Kosher Halal,0.05402,7011-83-8,Lactojasmon,0.04582
185.086,warm,-1.2997,142-62-1,Hexansäure kräftig,-0.15062,706-14-9,gamma-Decalacton Kosher Halal,-0.14867,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.13767,1754-62-7,Methyl-trans-cinnamat Halal,-0.11516,600-14-6,Acetylpropionyl Halal,-0.10574,-0.1253,513-86-0,Acetoin 50% in PG Kosher Halal,0.2593,600-14-6,Acetylpropionyl Halal,0.21362,106-32-1,Ethyloctanoat Halal Kosher,0.094,103-26-4,Methyl-trans-cinnamat,-0.09009,78-70-6,Linalool ex HO,-0.07571,-0.3476,106-32-1,Ethyloctanoat Halal Kosher,0.28864,513-86-0,Acetoin 50% in PG Kosher Halal,-0.10924,600-14-6,Acetylpropionyl Halal,-0.09546,142-92-7,Hexylacetat Kosher Halal,-0.09334,659-70-1,Isoamylisovalerat Kosher Halal,-0.09099,0.0145,16491-36-4,cis-3-Hexenylbutyrat Halal,-0.08247,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.05959,118-71-8,Maltol Kosher Halal,0.055,7011-83-8,Lactojasmon,0.04582,106-32-1,Ethyloctanoat Halal Kosher,-0.03956
185.090P,fruity,-1.1476,97-62-1,Ethylisobutyrat Halal,0.36332,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.19492,105-54-4,Ethylbutyrat Kosher Halal,-0.19335,706-14-9,gamma-Decalacton Kosher Halal,-0.17671,116-53-0,2-Methylbuttersäure Halal Kosher,-0.11523,-1.1675,97-62-1,Ethylisobutyrat Halal,-0.30218,103-26-4,Methyl-trans-cinnamat,-0.09009,513-86-0,Acetoin 50% in PG Kosher Halal,-0.0895,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.08393,78-70-6,Linalool ex HO,-0.07571,-0.9865,97-62-1,Ethylisobutyrat Halal,-0.53285,142-92-7,Hexylacetat Kosher Halal,-0.09334,659-70-1,Isoamylisovalerat Kosher Halal,-0.09099,111-27-3,Hexanol Kosher Halal,-0.06918,78-70-6,Linalool ex HO,-0.06141,0.9144,97-62-1,Ethylisobutyrat Halal,0.52767,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.15136,3658-77-3,Furaneol Halal,0.07607,118-71-8,Maltol Kosher Halal,0.06181,7011-83-8,Lactojasmon,0.04582
185.091,fruity,-1.1142,106-30-9,Ethylheptanoat,-0.16541,142-62-1,Hexansäure kräftig,-0.12599,105-54-4,Ethylbutyrat Kosher Halal,-0.12573,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.12123,1754-62-7,Methyl-trans-cinnamat Halal,-0.11516,-0.2808,103-26-4,Methyl-trans-cinnamat,0.19006,513-86-0,Acetoin 50% in PG Kosher Halal,-0.0895,106-30-9,Ethylheptanoat,-0.07326,14901-07-6,beta-Ionon Halal Kosher,-0.06469,7212-44-4,Nerolidol,-0.05926,-0.0739,124-07-2,Octansäure,0.09012,111-27-3,Hexanol Kosher Halal,-0.06918,106-30-9,Ethylheptanoat,-0.05276,142-92-7,Hexylacetat Kosher Halal,-0.05007,105-57-7,Acetal Halal,-0.04154,-0.2183,868-57-5,Methyl-2-methylbutyrat,-0.10888,124-07-2,Octansäure,-0.08228,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.07958,118-71-8,Maltol Kosher Halal,0.06181,64-19-7,Essigsäure Halal Kosher,0.05695
185.133,fruity,-1.1787,116-53-0,2-Methylbuttersäure Halal Kosher,-0.12948,142-62-1,Hexansäure kräftig,-0.11952,1754-62-7,Methyl-trans-cinnamat Halal,-0.11516,123-66-0,Ethylhexanoat Halal,0.09768,3681-71-8,cis-3-Hexenylacetat Halal Kosher,-0.08922,-0.536,103-26-4,Methyl-trans-cinnamat,0.23174,513-86-0,Acetoin 50% in PG Kosher Halal,-0.0895,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.08596,78-70-6,Linalool ex HO,-0.07571,14901-07-6,beta-Ionon Halal Kosher,-0.06469,-0.3029,105-57-7,Acetal Halal,0.29031,142-92-7,Hexylacetat Kosher Halal,-0.09334,659-70-1,Isoamylisovalerat Kosher Halal,-0.09099,111-27-3,Hexanol Kosher Halal,-0.06918,3681-71-8,cis-3-Hexenylacetat Halal Kosher,-0.06629,0.5683,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.15502,3658-77-3,Furaneol Halal,0.0822,105-57-7,Acetal Halal,0.07524,118-71-8,Maltol Kosher Halal,0.06181,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.05959
185.178HP,fruity,-1.1127,106-30-9,Ethylheptanoat,-0.16541,142-62-1,Hexansäure kräftig,-0.12599,105-54-4,Ethylbutyrat Kosher Halal,-0.12556,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.12123,1754-62-7,Methyl-trans-cinnamat Halal,-0.11516,-0.2799,103-26-4,Methyl-trans-cinnamat,0.19056,513-86-0,Acetoin 50% in PG Kosher Halal,-0.0895,106-30-9,Ethylheptanoat,-0.07326,14901-07-6,beta-Ionon Halal Kosher,-0.06469,7212-44-4,Nerolidol,-0.05926,-0.0735,124-07-2,Octansäure,0.09012,111-27-3,Hexanol Kosher Halal,-0.06918,106-30-9,Ethylheptanoat,-0.05276,142-92-7,Hexylacetat Kosher Halal,-0.05007,105-57-7,Acetal Halal,-0.04154,-0.2199,868-57-5,Methyl-2-methylbutyrat,-0.10957,124-07-2,Octansäure,-0.08228,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.08024,118-71-8,Maltol Kosher Halal,0.06181,64-19-7,Essigsäure Halal Kosher,0.05695
185.237H,fruity,-0.0822,110-19-0,Isobutylacetat Halal,0.21715,64-18-6,Ameisensäure 80%,0.21203,105-54-4,Ethylbutyrat Kosher Halal,-0.10894,142-92-7,Hexylacetat Kosher Halal,0.10835,116-53-0,2-Methylbuttersäure Halal Kosher,0.10184,-0.7871,103-26-4,Methyl-trans-cinnamat,-0.09009,513-86-0,Acetoin 50% in PG Kosher Halal,-0.0895,64-18-6,Ameisensäure 80%,-0.08646,78-70-6,Linalool ex HO,-0.07571,14901-07-6,beta-Ionon Halal Kosher,-0.06469,-0.1103,142-92-7,Hexylacetat Kosher Halal,0.30892,110-19-0,Isobutylacetat Halal,-0.19711,659-70-1,Isoamylisovalerat Kosher Halal,-0.09099,111-27-3,Hexanol Kosher Halal,0.08321,78-70-6,Linalool ex HO,-0.06141,-0.1773,64-18-6,Ameisensäure 80%,-0.40462,110-19-0,Isobutylacetat Halal,0.2141,142-92-7,Hexylacetat Kosher Halal,-0.10281,64-19-7,Essigsäure Halal Kosher,0.05007,7011-83-8,Lactojasmon,0.04582
