Rez.-Nr.,Dom_OT,Rank,CAS,Ingredient,OAV,Total_Contrib,PC1_Contrib,PC2_Contrib,PC3_Contrib,PC4_Contrib
185.028,fresh,1,23696-85-7,"beta-Damascenon, natürlich Kosher Halal",3.1e-05,0.55844,-0.24665,-0.11522,-0.08295,0.11361
185.028,fresh,2,3025-30-7,"Ethyl-trans,cis-2,4-decadienoat, natürlich Halal",0.0014,0.41849,-0.20014,-0.0841,0.02257,0.11168
185.028,fresh,3,75-07-0,Acetaldehyd Halal Kosher,0.000565,0.2995,-0.05928,-0.12401,-0.04712,-0.06909
185.028,fresh,4,6728-26-3,trans-2-Hexenal Kosher Halal,0.000875,0.29524,-0.02531,0.1439,-0.06043,-0.0656
185.028,fresh,5,61931-81-5 ,"cis-3-Hexenyllactat, natürlich Halal",6.1e-05,0.2651,-0.04849,-0.04147,-0.04885,0.12628
185.028,fresh,6,105-54-4,Ethylbutyrat Kosher Halal,0.011638,0.24231,-0.19888,0.00514,0.03783,0.00046
185.028,fresh,7,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.002187,0.22651,-0.18766,-0.01393,-0.01756,0.00736
185.028,fresh,8,706-14-9,gamma-Decalacton Kosher Halal,0.004375,0.2239,-0.18125,-0.00435,0.01446,0.02384
185.028,fresh,9,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.00175,0.22119,-0.07475,-0.04097,-0.05555,0.04993
185.028,fresh,10,142-62-1,Hexansäure kräftig,0.002275,0.20276,-0.13586,-0.02884,0.02657,-0.01148
185.043P,fresh,1,105-57-7,Acetal Halal,0.00227,0.76992,-0.1047,0.0403,0.49629,0.12862
185.043P,fresh,2,79-31-2,"Isobuttersäure, natürlich Halal Kosher",7e-06,0.59852,-0.26356,-0.10661,0.04964,0.1787
185.043P,fresh,3,3025-30-7,"Ethyl-trans,cis-2,4-decadienoat, natürlich Halal",0.00184,0.55513,-0.26548,-0.11156,0.02994,0.14814
185.043P,fresh,4,105-54-4,Ethylbutyrat Kosher Halal,0.01739,0.23027,-0.189,0.00488,0.03595,0.00044
185.043P,fresh,5,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.00283,0.22393,-0.18552,-0.01378,-0.01736,0.00728
185.043P,fresh,6,706-14-9,gamma-Decalacton Kosher Halal,0.007,0.20956,-0.16964,-0.00407,0.01354,0.02231
185.043P,fresh,7,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.00294,0.19213,-0.06493,-0.03558,-0.04825,0.04337
185.043P,fresh,8,123-66-0,Ethylhexanoat Halal,0.00543,0.18027,-0.12624,0.00037,0.03468,-0.01899
185.043P,fresh,9,116-53-0,2-Methylbuttersäure Halal Kosher,2.1e-05,0.16982,-0.12715,0.00185,0.01677,-0.02405
185.043P,fresh,10,1754-62-7,Methyl-trans-cinnamat Halal,0.0,0.16339,-0.11516,0.01806,-0.00017,0.02999
185.044,fresh,1,105-57-7,Acetal Halal,0.00227,0.76992,-0.1047,0.0403,0.49629,0.12862
185.044,fresh,2,79-31-2,"Isobuttersäure, natürlich Halal Kosher",7e-06,0.59852,-0.26356,-0.10661,0.04964,0.1787
185.044,fresh,3,3025-30-7,"Ethyl-trans,cis-2,4-decadienoat, natürlich Halal",0.00184,0.55513,-0.26548,-0.11156,0.02994,0.14814
185.044,fresh,4,105-54-4,Ethylbutyrat Kosher Halal,0.01739,0.23027,-0.189,0.00488,0.03595,0.00044
185.044,fresh,5,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.00283,0.22393,-0.18552,-0.01378,-0.01736,0.00728
185.044,fresh,6,706-14-9,gamma-Decalacton Kosher Halal,0.007,0.20956,-0.16964,-0.00407,0.01354,0.02231
185.044,fresh,7,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.00294,0.19213,-0.06493,-0.03558,-0.04825,0.04337
185.044,fresh,8,123-66-0,Ethylhexanoat Halal,0.00543,0.18027,-0.12624,0.00037,0.03468,-0.01899
185.044,fresh,9,116-53-0,2-Methylbuttersäure Halal Kosher,2.1e-05,0.16982,-0.12715,0.00185,0.01677,-0.02405
185.044,fresh,10,1754-62-7,Methyl-trans-cinnamat Halal,0.0,0.16339,-0.11516,0.01806,-0.00017,0.02999
185.046,fresh,1,110-43-0,2-Heptanon Halal,0.01,1.61302,-0.21228,0.18973,0.50173,0.70927
185.046,fresh,2,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.0,0.26399,-0.08922,-0.04889,-0.06629,0.05959
185.046,fresh,3,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.0,0.23528,-0.19492,-0.01447,-0.01824,0.00765
185.046,fresh,4,105-54-4,Ethylbutyrat Kosher Halal,0.018,0.229,-0.18795,0.00486,0.03575,0.00044
185.046,fresh,5,142-62-1,Hexansäure kräftig,0.0,0.22479,-0.15062,-0.03198,0.02946,-0.01273
185.046,fresh,6,123-66-0,Ethylhexanoat Halal,0.0,0.20026,-0.14024,0.00041,0.03852,-0.02109
185.046,fresh,7,706-14-9,gamma-Decalacton Kosher Halal,0.011,0.18779,-0.15201,-0.00365,0.01213,0.01999
185.046,fresh,8,78-70-6,"Linalool ex HO, natürlich Kosher Halal BG",0.0,0.18282,-0.01321,-0.07571,-0.06141,-0.03249
185.046,fresh,9,142-92-7,Hexylacetat Kosher Halal,0.0,0.16612,-0.03274,-0.00897,-0.09334,0.03107
185.046,fresh,10,1754-62-7,Methyl-trans-cinnamat Halal,0.0,0.16339,-0.11516,0.01806,-0.00017,0.02999
185.086,warm,1,600-14-6,Acetylpropionyl Halal,0.08512,0.43522,-0.10574,0.21362,-0.09546,0.0204
185.086,warm,2,106-32-1,Ethyloctanoat Halal Kosher,0.00098,0.42659,0.00439,0.094,0.28864,-0.03956
185.086,warm,3,513-86-0,Acetoin 50% in PG Kosher Halal,0.000574,0.39577,-0.01176,0.2593,-0.10924,-0.01547
185.086,warm,4,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.0,0.26399,-0.08922,-0.04889,-0.06629,0.05959
185.086,warm,5,142-62-1,Hexansäure kräftig,0.0,0.22479,-0.15062,-0.03198,0.02946,-0.01273
185.086,warm,6,706-14-9,gamma-Decalacton Kosher Halal,0.01176,0.18366,-0.14867,-0.00357,0.01186,0.01955
185.086,warm,7,78-70-6,"Linalool ex HO, natürlich Kosher Halal BG",0.0,0.18282,-0.01321,-0.07571,-0.06141,-0.03249
185.086,warm,8,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.01736,0.16617,-0.13767,-0.01022,-0.01288,0.0054
