CAS,Ingredient,Frequency,Recipes_Count,Avg_Norm_When_Present,Avg_Norm_All_Recipes
105-54-4,Ethylbutyrat Kosher Halal,0.9922,128,0.093956,0.093228
706-14-9,gamma-Decalacton Kosher Halal,0.9302,120,0.038739,0.036037
123-66-0,Ethylhexanoat Halal,0.9225,119,0.036157,0.033354
7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.9147,118,0.048705,0.044552
928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.8992,116,0.088893,0.079935
116-53-0,2-Methylbuttersäure Halal Kosher,0.814,105,0.063624,0.051787
3658-77-3,Furaneol Halal,0.7984,103,0.095135,0.075961
142-62-1,Hexansäure kräftig,0.7829,101,0.023316,0.018255
3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.7442,96,0.011774,0.008762
141-78-6,Ethylacetat Kosher Halal,0.6124,79,0.033561,0.020553
64-19-7,Essigsäure Halal Kosher,0.5969,77,0.036827,0.021982
108-64-5,Ethylisovalerat Kosher Halal,0.5814,75,0.015013,0.008728
107-92-6,Buttersäure Halal Kosher,0.5659,73,0.021253,0.012027
142-92-7,Hexylacetat Kosher Halal,0.5116,66,0.008638,0.004419
118-71-8,Maltol Kosher Halal,0.5116,66,0.046309,0.023693
121-33-5,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.4884,63,0.031729,0.015495
111-27-3,Hexanol Kosher Halal,0.4574,59,0.014148,0.006471
103-26-4,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.4341,56,0.034807,0.01511
1754-62-7,Methyl-trans-cinnamat Halal,0.4264,55,0.05585,0.023812
659-70-1,Isoamylisovalerat Kosher Halal,0.3798,49,0.011154,0.004237
16491-36-4,cis-3-Hexenylbutyrat Halal,0.3023,39,0.006133,0.001854
140-11-4,Benzylacetat Halal,0.2946,38,0.004795,0.001412
75-07-0,Acetaldehyd Halal Kosher,0.2636,34,0.006845,0.001804
123-51-3,Isoamylalkohol Kosher Halal,0.2636,34,0.009783,0.002578
78-70-6,"Linalool ex HO, natürlich Kosher Halal BG",0.2636,34,0.00267,0.000704
513-86-0,Acetoin 50% in PG Kosher Halal,0.2558,33,0.040827,0.010444
100-52-7,Benzaldehyd Kosher Halal,0.2558,33,0.001532,0.000392
123-92-2,Isoamylacetat Halal,0.2171,28,0.026714,0.005798
31501-11-8,cis-3-Hexenylhexanoat Halal,0.2093,27,0.011465,0.0024
106-27-4,Isoamylbutyrat Halal,0.1938,25,0.009425,0.001827
124-07-2,Octansäure,0.1938,25,0.006126,0.001187
79-09-4,Propionsäure Kosher Halal,0.186,24,0.018717,0.003482
98-55-5,alpha-Terpineol Kosher Halal,0.186,24,0.016242,0.003022
66-25-1,Hexanal Kosher Halal,0.186,24,0.001571,0.000292
6728-26-3,trans-2-Hexenal Kosher Halal,0.1783,23,0.002183,0.000389
868-57-5,Methyl-2-methylbutyrat,0.1783,23,0.014526,0.00259
64-18-6,"Ameisensäure 80%, natürlich Kosher, Halal",0.1705,22,0.000538,9.2e-05
2305-21-7,trans-2-Hexen-1-ol Halal Kosher,0.1705,22,0.011864,0.002023
24851-98-7,Methyldihydrojasmonat,0.1705,22,0.004073,0.000695
97-64-3,Ethyllactat Halal,0.155,20,0.032692,0.005069
105-37-3,Ethylpropionat Halal,0.1473,19,0.006306,0.000929
134-20-3,Methylanthranilat Halal,0.1395,18,0.001786,0.000249
105-57-7,Acetal Halal,0.1318,17,0.00121,0.000159
5471-51-2,Himbeerketon Halal,0.1318,17,0.010317,0.00136
2445-77-4,2-Methylbutylisovalerat,0.124,16,0.003091,0.000383
97-62-1,Ethylisobutyrat Halal,0.1163,15,0.001173,0.000136
600-14-6,Acetylpropionyl Halal,0.1163,15,0.01055,0.001227
431-03-8,Diacetyl Halal,0.1163,15,0.005819,0.000677
8022-96-6,Jasmin-Absolue (blumig) Halal,0.1163,15,0.003843,0.000447
75-18-3,"Dimethylsulfid, natürlich Kosher Halal BG, V",0.1085,14,0.001043,0.000113
104-67-6,gamma-Undecalacton Halal,0.1085,14,0.018674,0.002027
68647-72-3,"Orangenterpene, natürlich Kosher Halal BG V",0.1085,14,0.010204,0.001107
85-91-6,Dimethylanthranilat,0.1008,13,0.001808,0.000182
123-86-4,Butylacetat Kosher Halal,0.1008,13,0.002833,0.000286
623-42-7,Methylbutyrat Halal,0.093,12,0.00529,0.000492
2305-05-7,gamma-Dodecalacton Halal,0.093,12,0.005811,0.000541
110-19-0,Isobutylacetat Halal,0.093,12,0.01716,0.001596
106-70-7,Methylhexanoat,0.093,12,0.001315,0.000122
7212-44-4,Nerolidol,0.093,12,0.001536,0.000143
106-32-1,Ethyloctanoat Halal Kosher,0.093,12,0.003417,0.000318
14901-07-6,beta-Ionon Halal Kosher,0.0853,11,0.001304,0.000111
110-43-0,2-Heptanon Halal,0.0853,11,0.002114,0.00018
119-36-8,Methylsalicylat Halal,0.0853,11,0.005185,0.000442
78-83-1,Isobutanol Halal,0.0853,11,0.001179,0.000101
7011-83-8,Lactojasmon,0.0775,10,0.000173,1.3e-05
27625-35-0 ,Isoamyl-2-methylbutyrat,0.0775,10,0.003981,0.000309
106-30-9,Ethylheptanoat,0.0698,9,0.000622,4.3e-05
16409-45-3,"Menthylacetat, D,L-",0.0698,9,0.002183,0.000152
539-82-2,Ethylvalerat,0.062,8,0.010468,0.000649
103-36-6,Ethylcinnamat Halal,0.062,8,0.000304,1.9e-05
80-71-7,"Cycloten, natürlich Halal",0.062,8,0.001299,8.1e-05
3142-72-1,2-Methyl-2-pentensäure,0.062,8,0.005825,0.000361
10032-15-2,Hexyl-2-methylbutyrat Halal Kosher,0.0543,7,0.000616,3.3e-05
98-01-1,Furfural Halal,0.0543,7,0.00499,0.000271
97-53-0,Eugenol Halal,0.0543,7,0.006818,0.00037
8016-03-3,Davana-Öl,0.0543,7,0.003981,0.000216
2497-18-9,trans-2-Hexenylacetat Kosher Halal,0.0543,7,0.001388,7.5e-05
2639-63-6,Hexylbutyrat Halal Kosher,0.0543,7,0.011083,0.000601
713-95-1,delta-Dodecalacton Halal,0.0543,7,0.017942,0.000974
71-36-3,"Butanol, natürlich Halal",0.0543,7,0.001181,6.4e-05
705-86-2,delta-Decalacton Halal Kosher,0.0465,6,0.000733,3.4e-05
93-92-5,Styralylacetat Halal,0.0465,6,0.004301,0.0002
617-35-6,"Ethylpyruvat, natürlich",0.0465,6,0.001003,4.7e-05
4077-47-8,"Mesifuran, natürlich",0.0465,6,0.002171,0.000101
60-12-8,Phenethylalkohol Halal,0.0465,6,0.020753,0.000965
503-74-2,Isovaleriansäure Halal,0.0465,6,0.000641,3e-05
590-86-3,Isovaleraldehyd Halal,0.0388,5,0.000649,2.5e-05
79-31-2,"Isobuttersäure, natürlich Halal Kosher",0.0388,5,0.001485,5.8e-05
67-64-1,Aceton,0.0388,5,0.000885,3.4e-05
2432-51-1,S-(Methylthio)butyrat,0.0388,5,0.001402,5.4e-05
626-77-7,Propylhexanoat,0.0388,5,0.001974,7.7e-05
90045-90-2,"Iris-Concrete, 8% Iron Halal",0.0388,5,0.000394,1.5e-05
100-51-6,Benzylalkohol Halal,0.0388,5,0.017584,0.000682
27625-35-0,"Isoamyl-2-methylbutyrat, natürlich",0.0388,5,0.005413,0.00021
109-94-4,Ethylformiat Halal,0.0388,5,0.004219,0.000164
109-52-4,Valeriansäure Kosher Halal,0.0388,5,0.006224,0.000241
103-54-8,Cinnamylacetat,0.0388,5,8.3e-05,3e-06
104-55-2,Zimtaldehyd (trans) Halal,0.0388,5,0.003269,0.000127
53398-85-9,cis-3-Hexenyl-2-methylbutyrat,0.031,4,0.001309,4.1e-05
120-72-9,Indol Halal,0.031,4,3.6e-05,1e-06
624-41-9,2-Methylbutylacetat Kosher Halal,0.031,4,0.001025,3.2e-05
124-13-0,Octanal Halal,0.031,4,4.9e-05,2e-06
3025-30-7,"Ethyl-trans,cis-2,4-decadienoat, natürlich Halal",0.031,4,0.001143,3.5e-05
110-93-0,"Methylheptenon, natürlich Kosher; Halal V;",0.031,4,0.004445,0.000138
4940-11-8,Ethylmaltol Kosher Halal,0.031,4,0.222487,0.006899
122-78-1 /  64-17-5,"Phenylacetaldehyd 10% in Ethanol, natürlich",0.031,4,0.006166,0.000191
141-97-9,Ethylacetoacetat Halal,0.031,4,0.031853,0.000988
93-89-0,Ethylbenzoat,0.031,4,0.001552,4.8e-05
10544-63-5,Ethyl-trans-2-crotonat,0.031,4,0.002497,7.7e-05
79-69-6,alpha-Iron,0.031,4,0.000303,9e-06
821-55-6,"2-Nonanon, natürlich Halal",0.031,4,0.000113,4e-06
112-12-9,"2-Undecanon, natürlich Halal",0.0233,3,0.000103,2e-06
103-37-7,Benzylbutyrat,0.0233,3,0.005581,0.00013
586-62-9,"Terpinolen, natürlich Halal",0.0233,3,0.000312,7e-06
120-51-4,Benzylbenzoat Halal,0.0233,3,0.013001,0.000302
61931-81-5,cis-3-Hexenyllactat Halal,0.0233,3,0.018777,0.000437
61931-81-5 ,"cis-3-Hexenyllactat, natürlich Halal",0.0233,3,0.002163,5e-05
93-58-3,Methylbenzoat Halal,0.0233,3,0.002004,4.7e-05
109-19-3,Butylisovalerat Halal,0.0233,3,0.003192,7.4e-05
6290-17-1,Fraiston Halal Kosher,0.0233,3,0.007388,0.000172
109-21-7,Butylbutyrat Halal,0.0233,3,0.048464,0.001127
6378-65-0,Hexylhexanoat Kosher Halal,0.0233,3,0.009538,0.000222
67-63-0,Isopropanol Halal,0.0233,3,0.000258,6e-06
110-38-3,Ethyldecanoat Halal,0.0233,3,0.001164,2.7e-05
109-60-4,Propylacetat,0.0233,3,0.001683,3.9e-05
698-76-0,delta-Octalacton,0.0233,3,0.00129,3e-05
107-87-9,"2-Pentanon, natürlich Halal",0.0233,3,0.000576,1.3e-05
1632-73-1,Fenchol Halal,0.0233,3,0.002579,6e-05
98-86-2,"Acetophenon, natürlich Halal",0.0233,3,0.000534,1.2e-05
33467-74-2,cis-3-Hexenylpropionat,0.0233,3,0.007327,0.00017
33467-73-1,cis-3-Hexenylformiat Kosher Halal,0.0233,3,0.001729,4e-05
334-48-5,Decansäure,0.0233,3,0.014264,0.000332
127-41-3,alpha-Ionon Halal Kosher,0.0233,3,0.002592,6e-05
141-12-8,Nerylacetat Halal,0.0155,2,0.004472,6.9e-05
123-25-1,Diethylsuccinat,0.0155,2,0.000899,1.4e-05
8016-26-0,Labdanum Absolue Halal,0.0155,2,0.001559,2.4e-05
8016-38-4,Neroli-Öl Tunisien,0.0155,2,0.000423,7e-06
106-72-9  ,"Melonal, natürlich Kosher Halal",0.0155,2,2e-05,0.0
710-04-3,delta-Undecalacton Halal Kosher,0.0155,2,0.002156,3.3e-05
28664-35-9,Sotolon Halal,0.0155,2,2.4e-05,0.0
623-70-1,"Ethyl-trans-2-crotonat, natürlich Halal",0.0155,2,0.001272,2e-05
8031-03-6,Mimosa-Absolue,0.0155,2,0.001884,2.9e-05
13419-69-7,trans-2-Hexensäure Kosher Halal,0.0155,2,0.007382,0.000114
1365-19-1,"Linalooloxid, natürlich Halal",0.0155,2,0.000327,5e-06
27538-09-6 ,Ethylfuraneol Kosher Halal,0.0155,2,0.017558,0.000272
2719-08-6,Acetyl N-methylanthranilat,0.0155,2,0.001344,2.1e-05
68917-33-9,Zitronenterpene Kosher Halal,0.0155,2,0.006593,0.000102
71-23-8,Propanol Halal,0.0155,2,0.013028,0.000202
112-14-1,"Octylacetat, natürlich",0.0155,2,0.001617,2.5e-05
8008-79-5,Grüne Minze-Öl Amerikanisch,0.0155,2,0.000414,6e-06
54814-64-1,"Massoialacton, natürlich Halal",0.0155,2,0.000471,7e-06
98-85-1,Styralylalkohol Halal,0.0155,2,0.00115,1.8e-05
10191-41-0,DL-Alpha-Tocopherol Halal,0.0155,2,0.001091,1.7e-05
3390-12-3,Acetaldehyd PG acetal,0.0155,2,0.007211,0.000112
7786-61-0,"4-Vinylguajacol 1% in PG, natürlich",0.0155,2,7e-05,1e-06
695-06-7,gamma-Hexalacton Halal,0.0155,2,0.000256,4e-06
123-38-6,Propionaldehyd Kosher Halal,0.0155,2,0.000263,4e-06
120-57-0,Heliotropin Halal,0.0155,2,0.000235,4e-06
765-70-8,Cycloten Halal Kosher,0.0155,2,0.003208,5e-05
103-45-7,Phenethylacetat Halal Kosher,0.0155,2,0.00049,8e-06
8008-57-9,Orangen-Öl terpenfrei Halal,0.0078,1,0.019404,0.00015
8008-56-8,Zitronen-Öl italienisch Kosher Halal,0.0078,1,0.002344,1.8e-05
8008-45-5,Muskatnuss-Öl Terpenfrei,0.0078,1,0.004191,3.2e-05
