CAS,Ingredient,Frequency,Recipes_Count,Avg_Norm_When_Present,Avg_Norm_All_Recipes
105-54-4,Ethylbutyrat Kosher Halal,1.0,87,0.099655,0.099655
706-14-9,gamma-Decalacton Kosher Halal,0.954,83,0.03553,0.033897
123-66-0,Ethylhexanoat Halal,0.9425,82,0.037652,0.035488
7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.908,79,0.049158,0.044638
928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.8851,77,0.086,0.076115
116-53-0,2-Methylbuttersäure Halal Kosher,0.8161,71,0.063775,0.052047
3658-77-3,Furaneol Halal,0.7931,69,0.091137,0.072281
142-62-1,Hexansäure kräftig,0.7471,65,0.019203,0.014347
3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.7011,61,0.011042,0.007742
141-78-6,Ethylacetat Kosher Halal,0.6552,57,0.035971,0.023567
64-19-7,Essigsäure Halal Kosher,0.6322,55,0.038483,0.024328
108-64-5,Ethylisovalerat Kosher Halal,0.5632,49,0.015003,0.00845
107-92-6,Buttersäure Halal Kosher,0.5287,46,0.029363,0.015525
118-71-8,Maltol Kosher Halal,0.4713,41,0.050793,0.023937
1754-62-7,Methyl-trans-cinnamat Halal,0.4598,40,0.058822,0.027045
121-33-5,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.4368,38,0.042335,0.018491
103-26-4,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.4138,36,0.033006,0.013658
142-92-7,Hexylacetat Kosher Halal,0.4023,35,0.00838,0.003371
111-27-3,Hexanol Kosher Halal,0.3563,31,0.014861,0.005295
659-70-1,Isoamylisovalerat Kosher Halal,0.3218,28,0.00799,0.002572
75-07-0,Acetaldehyd Halal Kosher,0.2529,22,0.003645,0.000922
16491-36-4,cis-3-Hexenylbutyrat Halal,0.2529,22,0.007541,0.001907
100-52-7,Benzaldehyd Kosher Halal,0.2299,20,0.001474,0.000339
140-11-4,Benzylacetat Halal,0.2069,18,0.005487,0.001135
79-09-4,Propionsäure Kosher Halal,0.1839,16,0.01761,0.003239
123-51-3,Isoamylalkohol Kosher Halal,0.1839,16,0.007195,0.001323
106-27-4,Isoamylbutyrat Halal,0.1839,16,0.007307,0.001344
64-18-6,"Ameisensäure 80%, natürlich Kosher, Halal",0.1724,15,0.00076,0.000131
105-37-3,Ethylpropionat Halal,0.1724,15,0.005872,0.001012
513-86-0,Acetoin 50% in PG Kosher Halal,0.1609,14,0.020453,0.003291
123-92-2,Isoamylacetat Halal,0.1494,13,0.009434,0.00141
31501-11-8,cis-3-Hexenylhexanoat Halal,0.1494,13,0.020165,0.003013
24851-98-7,Methyldihydrojasmonat,0.1494,13,0.001742,0.00026
431-03-8,Diacetyl Halal,0.1379,12,0.004079,0.000563
97-64-3,Ethyllactat Halal,0.1379,12,0.031924,0.004403
134-20-3,Methylanthranilat Halal,0.1379,12,0.000817,0.000113
8022-96-6,Jasmin-Absolue (blumig) Halal,0.1264,11,0.001124,0.000142
78-70-6,"Linalool ex HO, natürlich Kosher Halal BG",0.1264,11,0.001462,0.000185
