Rez.-Nr.,PC1_score,PC1_top1_cas,PC1_top1_name,PC1_top1_contrib,PC1_top2_cas,PC1_top2_name,PC1_top2_contrib,PC1_top3_cas,PC1_top3_name,PC1_top3_contrib,PC1_top4_cas,PC1_top4_name,PC1_top4_contrib,PC1_top5_cas,PC1_top5_name,PC1_top5_contrib,PC2_score,PC2_top1_cas,PC2_top1_name,PC2_top1_contrib,PC2_top2_cas,PC2_top2_name,PC2_top2_contrib,PC2_top3_cas,PC2_top3_name,PC2_top3_contrib,PC2_top4_cas,PC2_top4_name,PC2_top4_contrib,PC2_top5_cas,PC2_top5_name,PC2_top5_contrib,PC3_score,PC3_top1_cas,PC3_top1_name,PC3_top1_contrib,PC3_top2_cas,PC3_top2_name,PC3_top2_contrib,PC3_top3_cas,PC3_top3_name,PC3_top3_contrib,PC3_top4_cas,PC3_top4_name,PC3_top4_contrib,PC3_top5_cas,PC3_top5_name,PC3_top5_contrib,PC4_score,PC4_top1_cas,PC4_top1_name,PC4_top1_contrib,PC4_top2_cas,PC4_top2_name,PC4_top2_contrib,PC4_top3_cas,PC4_top3_name,PC4_top3_contrib,PC4_top4_cas,PC4_top4_name,PC4_top4_contrib,PC4_top5_cas,PC4_top5_name,PC4_top5_contrib
185.046,-0.9238,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.25127,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.18909,142-62-1,Hexansäure kräftig,-0.1715,123-66-0,Ethylhexanoat Halal,-0.16775,110-43-0,2-Heptanon Halal,-0.1651,1.9557,928-96-1,cis-3-Hexen-1-ol Halal Kosher,1.18959,109-21-7,Butylbutyrat Halal,0.37311,110-43-0,2-Heptanon Halal,0.37258,1754-62-7,Methyl-trans-cinnamat Halal,-0.11975,3658-77-3,Furaneol Halal,0.09548,-0.6284,8022-96-6,Jasmin-Absolue (blumig) Halal,-0.19713,110-43-0,2-Heptanon Halal,-0.12752,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.12627,109-21-7,Butylbutyrat Halal,-0.12528,1754-62-7,Methyl-trans-cinnamat Halal,-0.10567,0.183,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,3658-77-3,Furaneol Halal,0.09348,123-66-0,Ethylhexanoat Halal,0.09,111-27-3,Hexanol Kosher Halal,-0.08422,142-92-7,Hexylacetat Kosher Halal,-0.07831
185.086,-0.9311,600-14-6,Acetylpropionyl Halal,-0.21629,142-62-1,Hexansäure kräftig,-0.1715,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.13272,105-54-4,Ethylbutyrat Kosher Halal,0.11296,68917-33-9,Zitronenterpene Kosher Halal,0.11273,-0.8034,600-14-6,Acetylpropionyl Halal,-0.23205,106-32-1,Ethyloctanoat Halal Kosher,0.17926,706-14-9,gamma-Decalacton Kosher Halal,-0.17477,68917-33-9,Zitronenterpene Kosher Halal,-0.12731,1754-62-7,Methyl-trans-cinnamat Halal,-0.11975,0.1475,16491-36-4,cis-3-Hexenylbutyrat Halal,0.19148,106-32-1,Ethyloctanoat Halal Kosher,-0.18633,513-86-0,Acetoin 50% in PG Kosher Halal,0.17326,1754-62-7,Methyl-trans-cinnamat Halal,-0.10567,141-78-6,Ethylacetat Kosher Halal,-0.08614,0.5344,106-32-1,Ethyloctanoat Halal Kosher,0.2181,68917-33-9,Zitronenterpene Kosher Halal,0.12941,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,111-27-3,Hexanol Kosher Halal,-0.08422,16491-36-4,cis-3-Hexenylbutyrat Halal,0.08407
185.090P,-1.6039,105-54-4,Ethylbutyrat Kosher Halal,-0.30746,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.18909,116-53-0,2-Methylbuttersäure Halal Kosher,-0.17607,706-14-9,gamma-Decalacton Kosher Halal,-0.13692,123-66-0,Ethylhexanoat Halal,-0.08769,-1.0514,97-62-1,Ethylisobutyrat Halal,-0.3094,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.24629,706-14-9,gamma-Decalacton Kosher Halal,-0.22332,105-54-4,Ethylbutyrat Kosher Halal,0.1466,1754-62-7,Methyl-trans-cinnamat Halal,-0.09519,-0.3805,97-62-1,Ethylisobutyrat Halal,-0.1083,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.0981,116-53-0,2-Methylbuttersäure Halal Kosher,0.08755,1754-62-7,Methyl-trans-cinnamat Halal,-0.08399,141-78-6,Ethylacetat Kosher Halal,-0.07127,-0.027,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,706-14-9,gamma-Decalacton Kosher Halal,0.09768,111-27-3,Hexanol Kosher Halal,-0.08422,142-92-7,Hexylacetat Kosher Halal,-0.07831,105-54-4,Ethylbutyrat Kosher Halal,0.06968
185.091,-6.4954,106-30-9,Ethylheptanoat,-1.40322,16409-45-3,Menthylacetat,-1.36682,623-70-1,Ethyl-trans-2-crotonat,-1.14801,10032-15-2,Hexyl-2-methylbutyrat Halal Kosher,-1.14801,105-54-4,Ethylbutyrat Kosher Halal,-0.28173,0.522,106-30-9,Ethylheptanoat,0.34924,16409-45-3,Menthylacetat,0.34417,706-14-9,gamma-Decalacton Kosher Halal,-0.18758,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.14083,105-54-4,Ethylbutyrat Kosher Halal,0.13433,-2.6562,106-30-9,Ethylheptanoat,-0.73484,16409-45-3,Menthylacetat,-0.73139,623-70-1,Ethyl-trans-2-crotonat,-0.52945,10032-15-2,Hexyl-2-methylbutyrat Halal Kosher,-0.52945,1754-62-7,Methyl-trans-cinnamat Halal,-0.10567,-5.0552,106-30-9,Ethylheptanoat,-1.45615,16409-45-3,Menthylacetat,-1.27591,623-70-1,Ethyl-trans-2-crotonat,-1.0476,10032-15-2,Hexyl-2-methylbutyrat Halal Kosher,-1.0476,624-41-9,2-Methylbutylacetat Kosher Halal,-0.17897
185.133,-3.054,67-63-0,Isopropanol Halal,-0.81601,626-77-7,Propylhexanoat,-0.80677,106-30-9,Ethylheptanoat,-0.3476,116-53-0,2-Methylbuttersäure Halal Kosher,-0.18811,142-62-1,Hexansäure kräftig,-0.1413,-1.6872,626-77-7,Propylhexanoat,-0.35756,67-63-0,Isopropanol Halal,-0.35633,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.24878,706-14-9,gamma-Decalacton Kosher Halal,-0.12423,1754-62-7,Methyl-trans-cinnamat Halal,-0.11975,-2.0581,67-63-0,Isopropanol Halal,-0.64254,626-77-7,Propylhexanoat,-0.6345,106-30-9,Ethylheptanoat,-0.18203,1754-62-7,Methyl-trans-cinnamat Halal,-0.10567,103-26-4,Methyl-trans-cinnamat,-0.0987,-2.0228,67-63-0,Isopropanol Halal,-0.71787,626-77-7,Propylhexanoat,-0.70658,106-30-9,Ethylheptanoat,-0.36071,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,111-27-3,Hexanol Kosher Halal,-0.08422
185.237H,-0.5344,110-19-0,Isobutylacetat Halal,0.31121,105-54-4,Ethylbutyrat Kosher Halal,-0.23549,123-66-0,Ethylhexanoat Halal,-0.11894,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.1073,706-14-9,gamma-Decalacton Kosher Halal,-0.09863,-0.4771,706-14-9,gamma-Decalacton Kosher Halal,-0.16087,110-19-0,Isobutylacetat Halal,-0.15507,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.13221,105-54-4,Ethylbutyrat Kosher Halal,0.11228,121-33-5,Vanillin ex Eugenol,-0.08327,0.353,64-18-6,Ameisensäure 80%,0.26805,121-33-5,Vanillin ex Eugenol,0.1633,141-78-6,Ethylacetat Kosher Halal,-0.09291,142-92-7,Hexylacetat Kosher Halal,0.08565,110-19-0,Isobutylacetat Halal,0.083,0.6407,121-33-5,Vanillin ex Eugenol,0.21897,142-92-7,Hexylacetat Kosher Halal,0.12417,64-18-6,Ameisensäure 80%,0.10843,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,706-14-9,gamma-Decalacton Kosher Halal,0.07036
185.239,-0.9354,123-66-0,Ethylhexanoat Halal,0.22218,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.18909,116-53-0,2-Methylbuttersäure Halal Kosher,-0.18811,142-62-1,Hexansäure kräftig,-0.1715,1754-62-7,Methyl-trans-cinnamat Halal,0.14135,1.6631,868-57-5,Methyl-2-methylbutyrat,0.49836,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.39831,1754-62-7,Methyl-trans-cinnamat Halal,0.33684,75-07-0,Acetaldehyd Halal Kosher,0.26779,124-07-2,Octansäure,0.24939,3.2001,75-07-0,Acetaldehyd Halal Kosher,0.6667,868-57-5,Methyl-2-methylbutyrat,0.65337,109-94-4,Ethylformiat Halal,0.50756,1754-62-7,Methyl-trans-cinnamat Halal,0.29722,124-07-2,Octansäure,0.26702,-1.0659,75-07-0,Acetaldehyd Halal Kosher,-0.30727,109-94-4,Ethylformiat Halal,-0.18587,3658-77-3,Furaneol Halal,0.16944,868-57-5,Methyl-2-methylbutyrat,-0.15447,1754-62-7,Methyl-trans-cinnamat Halal,-0.14914
185.267,0.0447,142-62-1,Hexansäure kräftig,0.2184,105-54-4,Ethylbutyrat Kosher Halal,-0.19113,75-18-3,Dimethylsulfid,0.16629,78-70-6,Linalool ex HO,0.1385,116-53-0,2-Methylbuttersäure Halal Kosher,0.10422,-0.6171,75-18-3,Dimethylsulfid,-0.25429,6728-26-3,trans-2-Hexenal Kosher Halal,0.23264,78-70-6,Linalool ex HO,0.18825,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.17719,1754-62-7,Methyl-trans-cinnamat Halal,-0.11975,-1.1413,75-18-3,Dimethylsulfid,-0.276,78-70-6,Linalool ex HO,-0.27489,6728-26-3,trans-2-Hexenal Kosher Halal,0.22938,1754-62-7,Methyl-trans-cinnamat Halal,-0.10567,142-62-1,Hexansäure kräftig,-0.10388,-0.2872,75-18-3,Dimethylsulfid,-0.12379,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,78-70-6,Linalool ex HO,0.09513,111-27-3,Hexanol Kosher Halal,-0.08422,142-92-7,Hexylacetat Kosher Halal,-0.07831
185.291,-1.343,105-54-4,Ethylbutyrat Kosher Halal,-0.26115,142-62-1,Hexansäure kräftig,-0.1715,116-53-0,2-Methylbuttersäure Halal Kosher,-0.14491,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.12158,123-66-0,Ethylhexanoat Halal,-0.11125,-0.5217,706-14-9,gamma-Decalacton Kosher Halal,-0.13735,105-54-4,Ethylbutyrat Kosher Halal,0.12452,1754-62-7,Methyl-trans-cinnamat Halal,-0.11975,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.10554,100-52-7,Benzaldehyd Kosher Halal,-0.0826,-0.111,1754-62-7,Methyl-trans-cinnamat Halal,-0.10567,141-78-6,Ethylacetat Kosher Halal,-0.09291,142-62-1,Hexansäure kräftig,0.08157,64-19-7,Essigsäure Halal Kosher,-0.07821,142-92-7,Hexylacetat Kosher Halal,0.07365,0.0988,142-92-7,Hexylacetat Kosher Halal,0.10677,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,111-27-3,Hexanol Kosher Halal,-0.08422,121-33-5,Vanillin ex Eugenol,-0.06966,3658-77-3,Furaneol Halal,-0.06464
185.294,-0.5126,106-32-1,Ethyloctanoat Halal Kosher,0.16706,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.12864,706-14-9,gamma-Decalacton Kosher Halal,-0.11506,142-62-1,Hexansäure kräftig,0.10008,513-86-0,Acetoin 50% in PG Kosher Halal,-0.08713,-0.5643,106-32-1,Ethyloctanoat Halal Kosher,0.26657,431-03-8,Diacetyl Halal,-0.26209,706-14-9,gamma-Decalacton Kosher Halal,-0.18767,1754-62-7,Methyl-trans-cinnamat Halal,-0.11768,111-27-3,Hexanol Kosher Halal,0.08403,-0.1005,106-32-1,Ethyloctanoat Halal Kosher,-0.27709,431-03-8,Diacetyl Halal,0.26439,513-86-0,Acetoin 50% in PG Kosher Halal,0.16639,16491-36-4,cis-3-Hexenylbutyrat Halal,0.13533,1754-62-7,Methyl-trans-cinnamat Halal,-0.10384,1.1696,431-03-8,Diacetyl Halal,0.51589,106-32-1,Ethyloctanoat Halal Kosher,0.32433,111-27-3,Hexanol Kosher Halal,0.11263,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,706-14-9,gamma-Decalacton Kosher Halal,0.08209
