Rez.-Nr.,PC1,PC2,PC3,PC4,PC5,Mahal_dist
185.046,-0.9237922007140332,1.955716851631332,-0.6284096377905096,0.1829840398929296,-1.7980520505106685,0.938
185.086,-0.9310584396811663,-0.803357746262262,0.14750230339089684,0.5343643393063985,-0.4667569445080701,0.526
185.090P,-1.6039005670971038,-1.051434067335406,-0.3804916239816902,-0.027034450200313184,-0.42091354927023344,0.816
185.091,-6.495360386736766,0.5219537161145738,-2.6561814328054987,-5.055243208010993,4.1342426874725815,2.74
185.133,-3.0540035748033647,-1.6871797253533074,-2.0580737196018846,-2.022825990647755,1.2636866840362984,1.48
185.237H,-0.5343518541503604,-0.47714413470925726,0.35298032648661215,0.6407191864545103,-0.0697805514888543,0.306
185.239,-0.9353886046594987,1.6631357797072899,3.200127710262733,-1.0658762783667277,-1.2107128986901972,0.826
185.267,0.04469793240032494,-0.6170816824369437,-1.1412731054899303,-0.2871745917713798,-0.6840942228207484,0.27
185.291,-1.3430192975470554,-0.521720787282537,-0.11103081706007949,0.09877368602691931,-0.39095037757478435,0.609
185.294,-0.5126201884152222,-0.5643197800676653,-0.10052279526651797,1.1695680155941823,0.2987580173152983,0.327
185.314,-0.7171314286431764,-0.19298630365700828,-0.7862948685334664,0.747526700296362,-0.17026802714981892,0.313
185.321,1.2389046989735166,1.5889552060223642,1.637932004252219,-1.026864681584338,-0.6800589037402219,0.868
185.471,5.659734359557332,-3.6387710911495024,-1.0870397596664463,-2.1696762480019784,-1.1685461916204063,2.861
185.514,-7.554672397227812,-1.976072997292728,-5.427377070783795,-6.27127760632959,6.225488968183283,3.291
185.578P,2.7049532167071693,-2.3053712523651257,0.12315943587644704,2.22154564591937,3.4074210248166756,1.519
185.615,1.4562563770438959,-1.6567610756324067,-1.584621182539677,0.9576896784592942,-1.9761195786700323,0.948
185.621P,-0.28049539532717055,0.4372816004785216,0.25770157777232305,0.4103920620092568,-0.3897474398886259,0.224
185.644P,-0.22837126422525686,0.39930765301828325,0.2910014651807899,0.5142823741879444,-0.5160857073656463,0.199
185.664,-1.0510907396340143,2.1158366028776348,3.476405180047363,-0.11225675819406661,-1.023179396175169,1.024
185.675P,-3.8372511612563764,2.400990607893064,-0.7904681425286857,-0.6314600891922207,2.4989438956760623,1.924
185.741P,-2.28878248569846,-0.40000090013973993,-0.35877559554357175,0.767639637800305,-1.0870273206489414,0.978
185.984P,3.337370380890886,-0.8778965983037351,-3.6409534989811,-0.655288653997883,-1.4485438229336451,1.455
186.190P,-0.7662294098051943,10.32205946761339,0.9721812318393738,-4.459535710466005,0.35200834861982006,4.52
186.192,0.30834660175689643,7.724719308061843,0.4569287549093816,-2.4806813254746007,-0.1577246509502454,3.377
186.277P,1.6700220003604258,-0.1070752738556906,1.4503059916506245,1.6094813311684637,0.2609756865076545,0.704
186.821,-3.0668833829758455,-1.677390802592188,-2.0898690322888767,-2.0736898096465786,1.2057112230217408,1.483
186.981P,6.1849557636870856,5.755804051237789,-7.1954057314102275,2.4162558963384217,7.864631975784513,3.617
187.064P,1.8076179163651476,-0.9237088250646376,-0.5840609228037975,0.5552491071153669,-0.758381338855685,0.86
187.119P,-2.3940232463299065,-0.9606491409707414,-0.41008414385250086,0.0721785706847239,-0.23011353380601868,1.09
187.167P,5.480953136930353,-3.3250567474712147,-0.47982941008924374,-2.339002736548737,-1.1902183454536097,2.724
187.246P,1.9824317117712191,-1.1685340801260966,0.1017339416369955,-0.7696425757975535,-0.2412627683744242,0.977
187.365,0.3772416046346968,0.6289053914183126,-0.09225551555584918,0.06361589100589116,-1.8009123885950387,0.317
187.414P,-0.30578142529825014,-1.2002518007020941,0.20782547945816748,-0.5082523510665876,-0.19020060806969477,0.54
187.483P,6.286701425424476,-2.790413899363684,1.2160601192263085,-3.522530180532302,-1.8001069777172443,2.91
187.519P,1.3484128587345623,5.5067852230311995,2.7591100260827623,0.34307257941682007,0.45807566321221715,2.471
187.521P,-1.5361616633369861,-2.7099874947459384,-2.5565635072083075,0.16396818868342217,-2.1563963444610406,1.348
187.522P,-1.395681875719721,0.9080131461082758,3.5129687694023395,-0.8672840098837433,-1.157027549790487,0.708
187.567P,0.62785053638298,1.0291835125169129,0.5617325913778376,1.2946038921974983,-0.8305212831593773,0.521
187.571P,1.904810337289085,-0.5803974037860589,-1.5155844663752605,0.4411176820285964,-4.289159339246942,0.84
187.608P,0.4849689542455422,0.8834389819626282,0.6681366043885678,0.8883498595861351,-0.43697686563127547,0.436
187.657P,1.782261900110872,0.6167294389044496,-1.6635174617520458,1.0203872303096473,-1.2458670319377494,0.796
187.752P,0.07889684977989422,3.0809878460341373,0.5935561183076058,2.245928901863913,-2.2650275639642428,1.346
187.753P,0.12826482169915035,2.605878805360058,0.5249349371600667,1.9073131839064374,-1.908392945636424,1.14
