Rez.-Nr.,Rank,CAS,Ingredient,Norm_Totalmenge,Total_Contrib,PC1_Contrib,PC2_Contrib,PC3_Contrib,PC4_Contrib
185.046,1,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.440079,1.61221,0.25127,1.18959,0.12627,0.04509
185.046,2,110-43-0,2-Heptanon Halal,0.019646,0.70537,-0.1651,0.37258,-0.12752,0.04016
185.046,3,109-21-7,Butylbutyrat Halal,0.145383,0.6996,-0.1633,0.37311,-0.12528,0.0379
185.046,4,8022-96-6,Jasmin-Absolue (blumig) Halal,0.001965,0.38261,0.13791,-0.01154,-0.19713,-0.03603
185.046,5,3658-77-3,Furaneol Halal,0.176817,0.26217,0.00068,0.09548,0.07253,0.09348
185.046,6,116-53-0,2-Methylbuttersäure Halal Kosher,0.086444,0.225,0.12432,0.03433,-0.06181,0.00454
185.046,7,105-54-4,Ethylbutyrat Kosher Halal,0.070727,0.16177,-0.09475,0.04518,-0.00037,0.02147
185.046,8,706-14-9,gamma-Decalacton Kosher Halal,0.043222,0.13757,0.04016,0.0655,-0.00326,-0.02865
185.046,9,118-71-8,Maltol Kosher Halal,0.015717,0.02221,-0.00377,-0.01094,-0.0013,-0.00619
185.086,1,106-32-1,Ethyloctanoat Halal Kosher,0.003756,0.69604,0.11234,0.17926,-0.18633,0.2181
185.086,2,600-14-6,Acetylpropionyl Halal,0.032624,0.56449,-0.21629,-0.23205,0.03846,0.0777
185.086,3,68917-33-9,Zitronenterpene Kosher Halal,0.003005,0.37817,0.11273,-0.12731,0.00872,0.12941
185.086,4,706-14-9,gamma-Decalacton Kosher Halal,0.009015,0.36708,-0.10716,-0.17477,0.00871,0.07645
185.086,5,16491-36-4,cis-3-Hexenylbutyrat Halal,0.012234,0.33324,-0.03834,-0.01935,0.19148,0.08407
185.086,6,513-86-0,Acetoin 50% in PG Kosher Halal,0.043999,0.27385,-0.09073,0.00096,0.17326,-0.0089
185.086,7,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.013307,0.24667,-0.13272,0.02627,0.06886,0.01882
185.086,8,105-54-4,Ethylbutyrat Kosher Halal,0.134144,0.19287,0.11296,-0.05386,0.00045,-0.0256
185.086,9,141-78-6,Ethylacetat Kosher Halal,0.001717,0.17934,-0.05474,0.02365,-0.08614,0.0148
185.086,10,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.05838,0.07856,-0.01224,-0.05797,-0.00615,-0.0022
185.086,11,66-25-1,Hexanal Kosher Halal,0.000322,0.06096,0.02947,0.00951,0.01114,0.01084
185.086,12,118-71-8,Maltol Kosher Halal,0.002683,0.05742,-0.00974,-0.02829,-0.00337,-0.01601
185.086,13,3658-77-3,Furaneol Halal,0.094073,0.05465,0.00014,0.0199,0.01512,0.01949
185.086,14,75-07-0,Acetaldehyd Halal Kosher,0.00279,0.04826,-0.00361,0.00963,0.02397,-0.01105
185.086,15,116-53-0,2-Methylbuttersäure Halal Kosher,0.059238,0.04704,0.02599,0.00718,-0.01292,0.00095
185.086,16,64-19-7,Essigsäure Halal Kosher,0.030907,0.03251,-0.00021,-0.00793,0.02115,0.00322
185.086,17,123-66-0,Ethylhexanoat Halal,0.033697,0.01856,-0.00846,0.00434,-0.00121,0.00454
185.086,18,31501-11-8,cis-3-Hexenylhexanoat Halal,0.004185,0.01489,-0.00311,-0.00178,0.00764,0.00236
185.090P,1,97-62-1,Ethylisobutyrat Halal,0.002628,0.5608,-0.08698,-0.3094,-0.1083,-0.05612
185.090P,2,105-54-4,Ethylbutyrat Kosher Halal,0.005782,0.52496,-0.30746,0.1466,-0.00121,0.06968
185.090P,3,706-14-9,gamma-Decalacton Kosher Halal,0.002102,0.46905,-0.13692,-0.22332,0.01112,0.09768
185.090P,4,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.000759,0.33379,-0.05202,-0.24629,-0.02614,-0.00934
185.090P,5,116-53-0,2-Methylbuttersäure Halal Kosher,0.003329,0.31868,-0.17607,-0.04863,0.08755,-0.00643
185.090P,6,1754-62-7,Methyl-trans-cinnamat Halal,0.005548,0.26127,-0.03994,-0.09519,-0.08399,0.04215
185.090P,7,123-66-0,Ethylhexanoat Halal,0.016936,0.19225,-0.08769,0.04501,-0.0125,0.04705
185.090P,8,3658-77-3,Furaneol Halal,0.002348,0.17539,-0.00045,-0.06387,-0.04852,-0.06254
185.090P,9,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.00146,0.15978,-0.0607,-0.01503,-0.06108,0.02297
185.090P,10,141-78-6,Ethylacetat Kosher Halal,0.00549,0.14837,-0.04529,0.01957,-0.07127,0.01225
185.090P,11,142-62-1,Hexansäure kräftig,0.007358,0.13016,-0.08354,0.00545,0.03973,-0.00144
185.090P,12,64-19-7,Essigsäure Halal Kosher,0.002628,0.10724,0.00069,0.02617,-0.06976,-0.01062
185.090P,13,105-37-3,Ethylpropionat Halal,0.000234,0.02438,-0.00436,0.01364,0.00551,0.00087
185.090P,14,107-92-6,Buttersäure Halal Kosher,0.005431,0.01941,0.00267,0.00834,0.00812,-0.00028
185.090P,15,105-57-7,Acetal Halal,0.000117,0.01025,0.00164,0.00316,0.00344,0.00201
185.090P,16,79-09-4,Propionsäure Kosher Halal,0.003446,0.00426,0.00154,-0.00101,-0.001,0.00072
185.091,1,106-30-9,Ethylheptanoat,0.000298,3.94346,-1.40322,0.34924,-0.73484,-1.45615
185.091,2,16409-45-3,"Menthylacetat, D,L-",0.000347,3.71829,-1.36682,0.34417,-0.73139,-1.27591
185.091,3,623-70-1,"Ethyl-trans-2-crotonat, natürlich Halal",0.000298,2.82465,-1.14801,0.09958,-0.52945,-1.0476
185.091,4,10032-15-2,Hexyl-2-methylbutyrat Halal Kosher,9.9e-05,2.82465,-1.14801,0.09958,-0.52945,-1.0476
185.091,5,105-54-4,Ethylbutyrat Kosher Halal,0.013637,0.48103,-0.28173,0.13433,-0.00111,0.06385
185.091,6,624-41-9,2-Methylbutylacetat Kosher Halal,0.000198,0.42044,0.10774,-0.0384,0.09532,-0.17897
185.091,7,706-14-9,gamma-Decalacton Kosher Halal,0.00719,0.39399,-0.11501,-0.18758,0.00934,0.08205
185.091,8,116-53-0,2-Methylbuttersäure Halal Kosher,0.002678,0.32294,-0.17843,-0.04928,0.08872,-0.00651
185.091,9,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.005554,0.30771,-0.16556,0.03278,0.08589,0.02348
185.091,10,142-62-1,Hexansäure kräftig,0.000942,0.24966,-0.16024,0.01044,0.07621,-0.00276
185.091,11,123-66-0,Ethylhexanoat Halal,0.015621,0.20588,-0.09391,0.0482,-0.01338,0.05039
185.091,12,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.033027,0.19086,-0.02975,-0.14083,-0.01495,-0.00534
185.091,13,142-92-7,Hexylacetat Kosher Halal,0.000545,0.16621,-0.02086,-0.03444,-0.04528,-0.06564
185.091,14,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.001636,0.15529,-0.05899,-0.01461,-0.05936,0.02232
185.091,15,121-33-5,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.000248,0.1491,-0.00298,0.02614,-0.05126,-0.06873
185.091,16,141-78-6,Ethylacetat Kosher Halal,0.005653,0.14703,-0.04488,0.01939,-0.07062,0.01214
185.091,17,124-07-2,Octansäure,0.00238,0.13861,-0.01397,0.04945,0.05294,-0.02225
185.091,18,3658-77-3,Furaneol Halal,0.020307,0.13035,-0.00034,-0.04747,-0.03606,-0.04648
185.091,19,108-64-5,Ethylisovalerat Kosher Halal,0.000347,0.12769,-0.02627,0.02649,0.02829,-0.04663
185.091,20,78-70-6,"Linalool ex HO, natürlich Kosher Halal BG",0.000347,0.1028,0.02044,0.02777,-0.04056,0.01404
185.133,1,67-63-0,Isopropanol Halal,0.000274,2.53274,-0.81601,-0.35633,-0.64254,-0.71787
185.133,2,626-77-7,Propylhexanoat,2.1e-05,2.50541,-0.80677,-0.35756,-0.6345,-0.70658
185.133,3,106-30-9,Ethylheptanoat,7.9e-05,0.97685,-0.3476,0.08651,-0.18203,-0.36071
185.133,4,706-14-9,gamma-Decalacton Kosher Halal,0.01621,0.26092,-0.07617,-0.12423,0.00619,0.05434
185.133,5,103-26-4,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.032842,0.24343,0.05447,-0.07953,-0.0987,-0.01072
