Rez.-Nr.,Dom_OT,Rank,CAS,Ingredient,Norm_Totalmenge,Total_Contrib,PC1_Contrib,PC2_Contrib,PC3_Contrib,PC4_Contrib
185.028,fresh,1,97-62-1,Ethylisobutyrat Halal,0.003501,1.5125,0.56216,0.88338,0.05006,0.0169
185.028,fresh,2,6728-26-3,trans-2-Hexenal Kosher Halal,0.003889,0.75796,0.00821,-0.04129,-0.18458,0.52388
185.028,fresh,3,78-70-6,"Linalool ex HO, natürlich Kosher Halal BG",0.005445,0.60283,0.22306,-0.19366,0.16129,0.02482
185.028,fresh,4,27625-35-0,"Isoamyl-2-methylbutyrat, natürlich",0.001945,0.49667,0.00764,-0.02522,-0.12365,0.34016
185.028,fresh,5,3025-30-7,"Ethyl-trans,cis-2,4-decadienoat, natürlich Halal",0.003112,0.41504,0.0328,0.04268,-0.09061,-0.24894
185.028,fresh,6,140-10-3,"Zimtsäure, natürlich",0.000324,0.38061,0.0554,0.05144,-0.10011,-0.17366
185.028,fresh,7,23696-85-7,"beta-Damascenon, natürlich Kosher Halal",0.000138,0.38061,0.0554,0.05144,-0.10011,-0.17366
185.028,fresh,8,75-07-0,Acetaldehyd Halal Kosher,0.125631,0.38004,0.01143,0.03413,-0.08976,-0.24471
185.028,fresh,9,10032-15-2,Hexyl-2-methylbutyrat Halal Kosher,0.000778,0.35491,-0.03135,-0.00632,-0.12912,0.18813
185.028,fresh,10,705-86-2,delta-Decalacton Halal Kosher,0.001719,0.33793,-0.00395,0.04459,-0.07078,-0.21861
185.028,fresh,11,503-74-2,Isovaleriansäure Halal,0.000622,0.28028,0.09086,-0.09375,-0.04343,-0.05224
185.028,fresh,12,79-31-2,"Isobuttersäure, natürlich Halal Kosher",0.001945,0.27478,0.02219,-0.02392,-0.02264,-0.20603
185.028,fresh,13,64-19-7,Essigsäure Halal Kosher,0.222257,0.26997,-0.04683,0.05308,-0.02379,-0.14626
185.028,fresh,14,97-64-3,Ethyllactat Halal,0.12602,0.24723,-0.02415,0.00284,-0.04343,-0.17681
185.028,fresh,15,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.209799,0.22227,0.01986,-0.02145,-0.08272,0.09824
185.028,fresh,16,61931-81-5 ,"cis-3-Hexenyllactat, natürlich Halal",0.002723,0.19918,0.0133,0.02389,-0.03214,-0.12985
185.028,fresh,17,108-64-5,Ethylisovalerat Kosher Halal,0.000389,0.16081,-0.02201,-0.04505,0.02623,-0.06752
185.028,fresh,18,80-71-7,"Cycloten, natürlich Halal",0.001556,0.15134,0.04879,-0.03287,-0.01866,-0.05102
185.028,fresh,19,7212-44-4,Nerolidol,0.001556,0.12778,0.01208,0.02617,0.03456,-0.05498
185.028,fresh,20,106-70-7,Methylhexanoat,0.000445,0.10261,-0.00434,-0.00555,0.05741,0.0353
185.043P,odorless,1,586-62-9,"Terpinolen, natürlich Halal",0.000312,0.25988,-0.0434,-0.01243,0.00698,-0.19708
185.043P,odorless,2,79-31-2,"Isobuttersäure, natürlich Halal Kosher",0.001793,0.25262,0.0204,-0.022,-0.02081,-0.18941
185.043P,odorless,3,108-64-5,Ethylisovalerat Kosher Halal,0.000666,0.15546,-0.02128,-0.04355,0.02535,-0.06528
185.043P,odorless,4,659-70-1,Isoamylisovalerat Kosher Halal,0.000254,0.14668,0.0036,0.00676,0.03634,-0.09998
185.043P,odorless,5,142-92-7,Hexylacetat Kosher Halal,0.000888,0.1355,-0.00167,0.00789,0.03356,-0.09239
185.043P,odorless,6,706-14-9,gamma-Decalacton Kosher Halal,0.003701,0.13105,-0.00397,0.0281,0.029,-0.06998
185.043P,odorless,7,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.001555,0.11578,-0.0226,0.00052,0.03104,-0.06163
185.043P,odorless,8,105-54-4,Ethylbutyrat Kosher Halal,0.009195,0.09386,0.01419,0.01288,0.05371,-0.01307
185.043P,odorless,9,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.001496,0.09018,-0.01243,-0.02586,-0.00425,-0.04764
185.043P,odorless,10,141-78-6,Ethylacetat Kosher Halal,0.002977,0.08475,-0.03545,0.03063,-0.01498,-0.00369
185.043P,odorless,11,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.035386,0.07625,-0.00681,0.00736,0.02838,-0.0337
185.043P,odorless,12,10032-15-2,Hexyl-2-methylbutyrat Halal Kosher,0.00019,0.07481,-0.00661,-0.00133,-0.02722,0.03965
185.043P,odorless,13,116-53-0,2-Methylbuttersäure Halal Kosher,0.00074,0.06377,-0.00629,-0.03738,0.01755,-0.00255
185.043P,odorless,14,3025-30-7,"Ethyl-trans,cis-2,4-decadienoat, natürlich Halal",0.000486,0.06086,0.00481,0.00626,-0.01329,-0.0365
185.043P,odorless,15,111-27-3,Hexanol Kosher Halal,0.00111,0.05972,0.00496,0.00791,-0.00838,-0.03847
185.043P,odorless,16,105-57-7,Acetal Halal,0.0012,0.05536,-0.01608,-0.00474,-0.00543,-0.0291
185.043P,odorless,17,623-42-7,Methylbutyrat Halal,3.2e-05,0.05008,0.00153,0.00219,-0.03377,-0.01259
185.043P,odorless,18,123-66-0,Ethylhexanoat Halal,0.002871,0.0474,-0.00058,0.00453,0.02809,0.01419
185.043P,odorless,19,705-86-2,delta-Decalacton Halal Kosher,0.000264,0.04619,-0.00054,0.00609,-0.00967,-0.02988
185.043P,odorless,20,103-26-4,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.003966,0.04481,-0.0069,0.01047,0.01131,-0.01612
185.044,odorless,1,586-62-9,"Terpinolen, natürlich Halal",0.000312,0.25979,-0.04338,-0.01242,0.00697,-0.19701
185.044,odorless,2,79-31-2,"Isobuttersäure, natürlich Halal Kosher",0.001792,0.25254,0.0204,-0.02199,-0.02081,-0.18935
185.044,odorless,3,108-64-5,Ethylisovalerat Kosher Halal,0.000666,0.15547,-0.02128,-0.04355,0.02535,-0.06528
185.044,odorless,4,659-70-1,Isoamylisovalerat Kosher Halal,0.000254,0.14668,0.0036,0.00676,0.03634,-0.09998
185.044,odorless,5,142-92-7,Hexylacetat Kosher Halal,0.000888,0.13551,-0.00167,0.00789,0.03356,-0.09239
185.044,odorless,6,706-14-9,gamma-Decalacton Kosher Halal,0.0037,0.13105,-0.00397,0.02811,0.029,-0.06998
185.044,odorless,7,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.001554,0.11579,-0.0226,0.00052,0.03104,-0.06163
185.044,odorless,8,105-54-4,Ethylbutyrat Kosher Halal,0.009193,0.09386,0.01419,0.01288,0.05371,-0.01307
185.044,odorless,9,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.001496,0.09018,-0.01243,-0.02586,-0.00425,-0.04764
185.044,odorless,10,141-78-6,Ethylacetat Kosher Halal,0.002976,0.08475,-0.03545,0.03064,-0.01498,-0.00369
185.044,odorless,11,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.035375,0.07627,-0.00682,0.00736,0.02838,-0.03371
